,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,KFCRADIOuncut,2023-01-18 14:43:55+00:00,25,Twitter for iPhone,"The #GOATDebate is settled. The @PardonMyTake crew has _____ as their goat, and they had that take first. 

@BarstoolBigCat @PFTCommenter @StooliesClub @hen_ease @Billyhottakes @Philly_Mays @PMTsportsbiz @ryenarussillo https://t.co/JMH0sL48HV"
1,iconbagz,2023-01-17 02:02:49+00:00,0,Twitter for Android,"@metaphormessiah, @nu_jerz,Twork @CharlieClips_TV, or @DNA_GTFOH aren't battlerap cheat codes, Dizaster was/is.
That man was unstoppable, unbeatable and unequalled at his prime.

#battleraphighlights #smackUrl #rapbattles #Battlerap #bars  #WOTS #BattlerapGoat #GoatDebate"
2,southpaugh85,2023-01-16 23:46:37+00:00,1,Twitter for Android,"Exactly! 

“I think Michael Jordan is the greatest of all time, but LeBron’s had the greatest career” - Doc Rivers fuels the NBA GOAT debate"" 
To read it on the web, tap here: https://t.co/a2gi5Jw1Vh

#MichaelJordan #LeBronJames #goatdebate"
3,VanishonTokyo,2023-01-13 06:05:24+00:00,0,Twitter for Android,What is up with y'all saying MJ is better y'all need to grow up it's LeBron this is sad that y'all still can't accept LeBron is better https://t.co/O7mndCLCiB #Lebron #KINGJAMES #LebronJames #MJ #MichaelJordan #GOAT𓃵 #basketball #goatdebate https://t.co/XOyGLD22cn
4,kinger__john,2023-01-09 23:26:26+00:00,0,Twitter for Android,"@FTFonFS1 how does @getnickwright not come back at @kevinwildes saying he's not ok with lebron missing games with ""oh but you're ok with Jordan missing 2+ years"". Was a layup comeback and nick missed it #goatdebate"
5,bettitude,2023-01-09 20:03:31+00:00,1,Buffer,"On January 19, in a friendly match against a Saudi all-star XI, Cristiano Ronaldo will make his professional debut against Lionel Messi's PSG. After some time, they cross paths once more.
The last time Messi and Ronaldo faced off?
.
.
#ronaldo #messi #goatdebate #GOAT𓃵 https://t.co/bYmKGta4az"
6,oliyad4real,2023-01-07 08:27:02+00:00,1,Twitter for Android,"Ai is the Future!
#GOAT #LM10 #Messi #GOATdebate #GoAI
#ai #artificialintelligence #nlp https://t.co/pp4aWKyov0"
7,fgoa420,2023-01-04 23:13:10+00:00,0,Twitter for iPhone,Tage Thompson &gt; Ronaldo #goatdebate #soccertalk #hockeytalk
8,azza_williams94,2023-01-01 10:40:13+00:00,0,Twitter for Android,"@ESPNFC I still say CR7 because football is young man's game. With age comes reduction in output.
#waitandsee #goatdebate"
9,Insallah__,2022-12-31 20:50:43+00:00,1,Twitter Web App,"Who do you think comes out on top in this intense GOAT debate between Shaq and Ryan? 

🏀 Lebron or MJ? #lebronvsMJ #GOATdebate"
10,samjohnsonpdx,2022-12-31 19:33:37+00:00,1,Twitter for iPhone,"Grew up in the 90’s &amp; 00’s watching MJ, KOBE, LBJ extensively throughout.  

Basketball was my first love and always has been a passion of mine. In my opinion:

MJ - Greatest Of All Time
KOBE - Hardest Worker Of All Time 
LBJ - Most Physically Gifted Of All Time

#goatdebate"
11,TheHenryKane,2022-12-31 11:20:54+00:00,0,Twitter for iPad,"Just a reminder to people that had Pele been eligible for the Ballon D’or, it’s estimated that he’d have won 7. My second reminder to people is that if Messi winning the World Cup officially makes him the GOAT, what do Pele’s 3 World Cups make him? #Pele #GOATDebate"
12,etongo10,2022-12-30 21:51:10+00:00,0,Twitter for iPhone,Ronaldo is about that money. Messi is the Goat. When you can no longer compete. What do you do? #Goat #GoatDebate #RIPPele #StillRonaldo #AlienMessi
13,RUDOMAN6,2022-12-29 23:22:36+00:00,1,Twitter for iPhone,"I’m honor of The late great Pele. What’s your top five or Mt. Rushmore. 

Top 5 in my Book
1-Messi
2-Maradona
3-Pele
4-Ronaldo
5-Ronaldinho

#GOATDEBATE #Messi #Maradona #Pele #Ronaldo #Ronaldinho #Futbol #FIFA #Worldcup"
14,WokeConnoisseur,2022-12-29 19:12:13+00:00,1,Twitter for Android,"Pele RIP 🙏

#pele #pele_is_no_more #GOAT #goatdebate"
15,ItsmeJ0ta,2022-12-27 03:17:50+00:00,0,Twitter for iPhone,People need to stop debating about Ronaldo and Messi…Messi has been clear and every player who plays professional agrees with this especially now. It’s over stop reaching. Both are legends but Messi is clear‼️ #messi #ronaldo #goatdebate
16,SachinJ61172102,2022-12-25 13:06:28+00:00,0,Twitter for Android,"@iamsrk #AskSRK Lets end the debate once and for all.

Messi or Ronaldo 

#GoatDebate"
17,TroyIgay,2022-12-24 16:12:23+00:00,0,Twitter for Android,"There really isn't too much more that can be said about Messi that hasn't been already said. The epitome of a leader for an entire nation. He is simply immeasurable⚽️🥅🇦🇷
#FIFAWorldCup2022
#GOATDebate
#FootballThoughts"
18,yeasiedu_,2022-12-23 20:00:43+00:00,2,Twitter for Android,He's a https://t.co/3mA9dXZx5H despite his achievements .... @Cristiano will forever be my G.O.A.💯🌎💥#goatdebate #cristiano #ronaldo #messi #qatar2022 #WorldcupQatar2022 #Ronaldo𓃵 #Messi𓃵 #por https://t.co/CgdCtdJ6Wu
19,Favorite_Goat,2022-12-23 09:31:45+00:00,0,Twitter Web App,CR7 is not a threat anymore #goatdebate
20,madhyamam,2022-12-23 04:39:26+00:00,0,Hocalwire Social Share,മെസ്സി തന്നെ ഗോ​ട്ട് എന്ന് ഗ്വാർഡിയോള; ആ തർക്കം തീർന്നിട്ടില്ലെന്ന് ഇനിയെസ്റ്റ #LionelMessi #GOATdebate #AndresIniesta https://t.co/Oom5iMArxQ
21,MrHoneyDoServi1,2022-12-22 15:00:01+00:00,0,eClincher,"So, the NBA named the MVP award after Michael Jordan huh? Guess that settles the GOAT debate. Sorry Lebron. 🤷‍♂️ #christmas #christmasmemes #christmasgifts #merrychristmas #nba #michaeljordan #lebronjames #goat #goatdebate #mvpaward https://t.co/rZqeTC1orR"
22,ajatoye_o,2022-12-22 14:58:13+00:00,0,Twitter for Android,"It's not how far but how well!
#goatdebate"
23,WorldcupUS_2026,2022-12-22 12:46:04+00:00,0,Twitter for iPhone,@piersmorgan said Maradona was better than Messi. Think again. @GNev2 @Carra23 #GoatDebate https://t.co/eXmoIQChBt
24,Oberiko_Pro,2022-12-22 09:10:25+00:00,2,Twitter for iPhone,"Who is your goat? 
#goat #goatdebate https://t.co/i5RVCLJszq"
25,AracaMilk,2022-12-22 06:40:39+00:00,6,Twitter Web App,"Pabrik Pengolahan Supplier Susu Kambing Etawa 100% Murni. Susu untuk Manusia, Anjing, dan Kucing.
Rekomendasi Susu Kambing Etawa Terbaik.
#araca #aracamilk #susu #susukambing #susukambingetawa #kambingetawa #goatmilk #GOAT𓃵 #goatfarm #goatfarming #goats #goatdebate https://t.co/UFBV7vXZjc"
26,jairon_cora,2022-12-22 04:06:18+00:00,3,Twitter for iPhone,"A estas alturas el que aún tenga like en la foto del huevo es anti-Messi 

#goatdebate #GOAT𓃵 #Messi𓃵"
27,muazhalym,2022-12-22 02:38:01+00:00,1,Twitter for iPhone,"Could @FIFAcom @FIFAWorldCup @fifamedia arrange #Messi𓃵 , #Ronaldo𓃵 &amp; #Mbappe𓃵  to compete in a 200M sprint while the world watches #live ?
That should perhaps #end the #goatdebate . https://t.co/aMCTKyFs1q"
28,dewannofficial,2022-12-21 23:16:23+00:00,0,Twitter for Android,@piersmorgan #GOAT𓃵 #goatdebate https://t.co/OLsKWHuL1J
29,AelFarouq,2022-12-21 22:55:20+00:00,1,Twitter Web App,"@Omojuwa #GOAT𓃵 yet to be decided #goatdebate unending too many different records nd starts to be considered @Cristiano #CristianoRonaldo  #Ronaldo𓃵  #Messi  #Messi𓃵 
and @KMbappe  is on the rise #Mbappe𓃵"
30,AelFarouq,2022-12-21 22:45:50+00:00,0,Twitter Web App,@Austinporcher1 @Omojuwa This #goatdebate is never going to be settled less you counting trophies nd if so other players have everything too what is to be done about them? @Cristiano @KMbappe @mbappegoals_  #Ronaldo𓃵 #Ronaldinho  #Messi  #Mbappe𓃵  #Football is #beautiful
31,MariaBabar20,2022-12-21 21:37:42+00:00,0,Twitter Web App,@sollysankz This dude is delusion number centric 🤡.  Or he is just saying all that to get attention. Many of them theese day's as #messi have closed the #goatdebate
32,joel_oseyili,2022-12-21 19:29:28+00:00,2,Twitter for iPhone,"Uniben adding to the GOAT 🐐 debate 🤣

#GOAT𓃵 #Messi𓃵 #Argentina #goatdebate #WorldCup2022 #WorldCupFinal #WorldcupQatar2022 https://t.co/SfGKjQqcL9"
33,Pr__09,2022-12-21 17:58:39+00:00,0,Twitter for iPhone,These things don't matter any more... As #Messi is happy as he has achieved this ultimate target... #goatdebate
34,Pr__09,2022-12-21 17:55:40+00:00,1,Twitter for iPhone,"I’m glad i’m messi fans, i don’t need to explain anything just sit tight watching him play and proof everything. While the others fans hv to do everything, i mean EVERYTHING🤭🤭🤭 #GOAT𓃵 #goatdebate #Messi𓃵 https://t.co/UjVDgOtOJV"
35,tysonk88,2022-12-21 15:17:08+00:00,2,Twitter for iPhone,"@RealSkipBayless @undisputed Either you play to win with the pain or you don’t. Playing injured is difficult, some can handle it and some can’t. #WIN #sportsbet #sports #football #goatdebate #GOAT𓃵"
36,RobEccles_,2022-12-21 14:51:16+00:00,0,Twitter Web App,"This guy not being in your top 5 shows that you don’t know ball 🐐⚽️

#Top5 #Messi𓃵 #goatdebate https://t.co/Ch8Clk5z1b"
37,19me07rt,2022-12-21 14:40:33+00:00,0,Twitter for iPhone,"Cristiano Ronaldo is the greatest off all time simply the GOAT. 🐐 

cc: ftbl.adnan on tik tok
#ronaldo #goat #goatdebate https://t.co/OIm6m9Bx74"
38,veterehan_md,2022-12-21 13:30:23+00:00,0,Twitter for Android,"@iam_FirstSamuel @UgwunnaEjikem The DELETED TWEET  @FIFAWorldCup #GOAT𓃵 #Messi𓃵 
#GoatDebate #FIFAWorldCup https://t.co/I2V7f9Yveb"
39,veterehan_md,2022-12-21 13:28:46+00:00,0,Twitter for Android,@Anowax @iam_FirstSamuel @astaroth_g @UgwunnaEjikem This is the Deleted Tweet by @FIFAWorldCup . #GOAT𓃵 #goatdebate  #FIFAWorldCup https://t.co/ou9fgzYl8R
40,wildlabssafaris,2022-12-21 13:17:45+00:00,1,Twitter for Android,"Now that the #GOAT𓃵 / #goatdebate has been resolved, the wild is now calling #VisitUganda  with Wildlabs Safaris making it happen. Tap on https://t.co/UZlc5YstXc for more info on getting on board https://t.co/e9Ja9CYBjv"
41,SarpsEffect,2022-12-21 12:47:04+00:00,0,Twitter for iPhone,"@Cristiano in titles all be 5'5 chensee 

#Ronaldo #Davido #goatdebate #Messi𓃵 #GreatestOfAllTime https://t.co/0sSboscZq7"
42,worldyourpalm99,2022-12-21 07:00:39+00:00,0,Twitter for Android,"More than settling the #GOATdebate with #CristianoRonaldo, which was media muppetry clearly, it was Messi earning back the love he always was entitled to but felt bereft of after 2014, from grudging home fans. Even the vanquished French  #Messi𓃵 #Mbappe
https://t.co/yDoeRg8Ypv"
43,ViniDinho19,2022-12-20 22:41:52+00:00,32,Twitter for iPhone,"This pretty much sums up their careers as ronaldo have everyone hates him, “(maybe they don’t like me because I’m to good)” while Messi get protected. 
For me Ronaldo is the GOAT, thanks for reading! Rt appreciated! #GOAT𓃵 #goat #goatdebate #ronaldo #Ronaldo𓃵 #messi #Messi𓃵"
